rank,module_id,module_name,quality_score,suitability
75,M41,Green Blockchain Applications,0.0,Poor
76,M43,Circular Economy Digital Applications,0.0,Poor
77,M44,Advanced Sustainability Impact Assessment,0.0,Poor
78,M47,Applied Ethics in AI for Sustainability (EQF 5 Version),0.0,Poor
79,M5,Sustainable Software Engineering,0.0,Poor
80,M50,Advanced Sustainability Impact Assessment Methods,0.0,Poor
81,M54,Digital Sustainability Policy Development,0.0,Poor
82,M56,Green Finance and Sustainable Investment,0.0,Poor
83,M8,Work-based Sustainability Project,0.0,Poor
84,OM10,Advanced Sustainability Impact Assessment Methods,0.0,Poor
85,OM3,Green Software Engineering,0.0,Poor
86,OM4,Industry Collaboration Project,0.0,Poor
87,OM5,Sustainable IT Consultancy,0.0,Poor
88,OM6,Eco-design for Digital Products,0.0,Poor
89,OM8,Introduction to Green IT,0.0,Poor
90,OM9,Sustainable IT for Small Organizations,0.0,Poor
