rank,module_id,module_name,quality_score,suitability
34,M66,ESG Reporting and Compliance Framework,0.08673679853403121,Poor
35,M73,Business-Technical Sustainability Bridge,0.07913849563987363,Poor
36,M9,Technical Implementation and Tool Support,0.0626402046907073,Poor
37,M56,Green Finance and Sustainable Investment,0.055978683763743584,Poor
38,M3,Data Analytics for Sustainability,0.044050690518782326,Poor
39,M74,Sustainability Data Science and Predictive Analytics,0.04032376311086863,Poor
40,M19,Sustainability Assessment and Benchmarking,0.03524295601536124,Poor
41,M8,Work-based Sustainability Project,0.0325834086480926,Poor
42,M2,Sustainability Frameworks and Standards,0.03182460544724844,Poor
43,M46,Sustainable Business Models for Digital Companies (EQF 4 Version),0.031824605447248425,Poor
44,M71,Green Software Development Practices,0.02974880672653355,Poor
45,M12,Advanced Visualisation for Sustainability Reporting,0.02706526402295225,Poor
46,M35,Sustainable IT Consultancy,0.026036320786912398,Poor
47,OM5,Sustainable IT Consultancy,0.026036320786912398,Poor
48,M32,Sustainable IT Strategy,0.02536015651040988,Poor
49,OM2,Sustainable IT Strategy,0.02536015651040988,Poor
50,M26,AI for Sustainable Decision-Making,0.024066425306383293,Poor
51,M48,AI for Sustainable Decision-Making (EQF 8 Version),0.024066425306383293,Poor
52,M51,AI for Sustainable Decision-Making (EQF 8 Version) - Duplicate,0.024066425306383293,Poor
53,M58,Public Engagement and Science Communication,0.02332156866387353,Poor
54,M61,Technology Assessment for Sustainability,0.021898861336411488,Poor
55,M34,Industry Collaboration Project,0.021356157249806832,Poor
56,OM4,Industry Collaboration Project,0.021356157249806832,Poor
57,M60,Systematic Innovation for Sustainability Challenges,0.02134924738280769,Poor
58,M42,Sector-specific Green IT Applications,0.020619673814511748,Poor
59,M57,Sustainability Economics and Market Mechanisms,0.020563234653974412,Poor
60,M13,Low-Carbon Cloud Infrastructure,0.0,Poor
61,M15,Applied Ethics in AI for Sustainability,0.0,Poor
62,M16,DevOps and Sustainable Deployment,0.0,Poor
63,M18,AI-Driven Environmental Risk Modelling,0.0,Poor
64,M21,Energy-Efficient Software Architecture,0.0,Poor
65,M22,Sustainable ICT Procurement and Policy,0.0,Poor
66,M27,Green IT Service Management,0.0,Poor
67,M29,Blockchain for Sustainability Traceability,0.0,Poor
68,M31,Introduction to Digital Sustainability,0.0,Poor
69,M33,Green Software Engineering,0.0,Poor
70,M37,Net-Zero IT Infrastructure,0.0,Poor
71,M38,Introduction to Green IT,0.0,Poor
72,M39,Sustainable IT for Small Organizations,0.0,Poor
73,M4,Machine Learning and Predictive Modeling,0.0,Poor
74,M40,Advanced Sustainability Impact Assessment Methods,0.0,Poor
75,M41,Green Blockchain Applications,0.0,Poor
76,M47,Applied Ethics in AI for Sustainability (EQF 5 Version),0.0,Poor
77,M5,Sustainable Software Engineering,0.0,Poor
78,M50,Advanced Sustainability Impact Assessment Methods,0.0,Poor
79,M55,Global Climate Technology Governance,0.0,Poor
80,M6,Systems Architecture for Sustainability,0.0,Poor
81,M64,Behavioral Insights for Sustainability Transformation,0.0,Poor
82,M65,Community-Based Participatory Sustainability Research,0.0,Poor
83,M68,Regulatory Technology (RegTech) for Sustainability,0.0,Poor
84,M69,Sustainable IT Operations and DevOps,0.0,Poor
85,M70,ICT Energy Consumption and Carbon Footprint Management,0.0,Poor
86,OM10,Advanced Sustainability Impact Assessment Methods,0.0,Poor
87,OM3,Green Software Engineering,0.0,Poor
88,OM7,Net-Zero IT Infrastructure,0.0,Poor
89,OM8,Introduction to Green IT,0.0,Poor
90,OM9,Sustainable IT for Small Organizations,0.0,Poor
